UNIQUE_ID,LIST_OF_INGREDIENTS,PREPARATION_METHOD,MANUFACTURED_DATE,MANUFACTURED_LOCATION,QUANTITY,APPETIZING_COLOR,ATTRACTIVE_PACKAGING,SUBMISSION_DATE,QUALITY_ASSURANCE_ENTITY,RESPONSE
monUvMmr95OP05e,"X7, X8","D4, D2",2016-11-30,Y3,50,0,0,2016-12-01,Z3,0
1xbRcd2JbUuZ0IK,"X7, X8","D4, D2",2016-12-01,Y3,100,0,0,2016-12-31,Z1,1
8FMJ6YMJYbTC4yp,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2016-12-31,Z1,1
fuovowqPpCHv3W9,"X1, X7",D10,2016-12-01,Y3,200,0,0,2016-12-02,Z3,0
monUvMmr95OP05e,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2016-12-31,Z3,1
monUvMmr95OP05e,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2017-01-01,Z3,0
monUvMmr95OP05e,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2017-01-02,Z3,0
monUvMmr95OP05e,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2017-01-10,Z3,0
monUvMmr95OP05e,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2017-01-11,Z3,0
monUvMmr95OP05e,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2017-01-30,Z3,0
winhsDL92bKQS4x,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2016-12-31,Z2,1
xWc5x0sOguKgkJa,"X7, X8","D4, D2",2016-12-01,Y3,200,0,0,2016-12-31,Z4,1
8jE26hwkyWzOOpV,"X7, X8","D4, D2",2016-12-05,Y3,200,0,0,2017-01-02,Z3,1
j1KqeiH7KrzuW9N,"X7, X8","D4, D2",2016-12-05,Y3,400,0,0,2017-01-06,Z1,1
lBLYpZi7P5Fbs1N,"X7, X8","D4, D2",2016-12-05,Y3,400,0,0,2017-01-02,Z4,1
tossSzrrzX43iqu,"X7, X8","D4, D2",2016-12-05,Y3,200,0,0,2017-01-02,Z2,1
ZIIvtO5hcTg8Tg4,"X7, X8","D4, D2",2016-12-05,Y3,500,0,0,2017-01-02,Z2,1
w7WNrNenF4h9C5,"X1, X2, X3, X4, X5","D3, D2",2016-12-10,Y1,500,0,1,2016-12-11,Z1,0
z8lmAhwtP3ehr63,"X7, X8","D4, D2",2016-12-10,Y4,300,0,1,2016-12-11,Z3,0
QibP7kHXVqO8Ve7,"X7, X8","D4, D2",2016-12-11,Y4,100,1,1,2016-12-12,Z3,0
SuNat7oTPLjWsXD,"X7, X8","D4, D2",2016-12-15,Y4,500,0,0,2016-12-16,Z3,0
9KXp0XrXblr7bxy,"X1, X2, X3, X4, X5","D2, D1, D3",2016-12-20,Y4,500,0,1,2016-12-21,Z2,0
w7WNrNenF4h9C5,"X1, X2, X3, X4, X5","D2, D1, D3",2016-12-20,Y1,200,0,1,2016-12-21,Z1,0
b8HQmdEN4W8VMfj,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-30,Y4,400,1,1,2016-12-31,Z1,1
Cb1ZysE3Vb0BmRc,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-30,Y4,400,1,1,2016-12-31,Z2,1
jbsQ6vrRg4FK2ea,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-30,Y4,400,1,1,2016-12-31,Z1,1
RcECLtfRYf0pIvi,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-30,Y4,400,1,1,2016-12-31,Z2,1
vUimrsgQNsFAl7s,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-30,Y4,400,1,1,2016-12-31,Z4,1
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-30,Y2,50,1,1,2016-12-31,Z1,0
mUxn2XVYf0BEp1n,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y2,400,1,1,2017-01-01,Z3,1
oVqhgefHik2hGFO,"X7, X8","D4, D2",2016-12-31,Y4,200,0,0,2017-01-01,Z3,0
P8XQBLpFlTIhJhd,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y2,400,1,1,2017-01-01,Z4,1
RA4QlP16eBOuJbF,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y2,400,1,1,2017-01-01,Z1,1
RmUIzItC9qvIRjv,"X7, X8","D4, D2",2016-12-31,Y5,50,0,0,2017-01-01,Z2,0
Ud7FnQTpDOlJLu9,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y2,400,1,1,2017-01-01,Z2,1
WdlDzDsWFeoSDr4,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y2,400,1,1,2017-01-01,Z1,1
yjrSDFNxhP7y6df,"X9, X7","D2, D10",2016-12-31,Y2,400,1,1,2017-01-01,Z1,0
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y2,400,1,1,2017-01-01,Z1,1
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y1,100,1,1,2017-01-10,Z2,0
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y1,200,1,1,2017-01-11,Z2,0
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y1,300,1,1,2017-01-12,Z2,0
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y1,500,1,1,2017-01-20,Z2,0
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D1, D2, D3",2016-12-31,Y1,800,1,1,2017-01-30,Z2,0
0XRECGhc8qZFWpE,"X1, X2, X3, X4, X5","D3, D2",2017-01-01,Y1,100,0,1,2017-01-02,Z1,0
284gxnMw1Ydc3cN,"X3, X4",D2,2017-01-01,Y4,100,1,0,2017-01-02,Z4,1
2KRQnHO2C2QKVbj,"X1, X2, X3, X4, X5","D2, D1, D3",2017-01-01,Y2,100,0,1,2017-01-02,Z1,0
3EkQIY38rwky7Jl,X6,D10,2017-01-01,Y1,400,0,1,2017-01-02,Z4,1
3NNx1FWbMRDx2x7,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,200,1,1,2017-01-02,Z4,0
4ETO8vm58FHHxR2,X6,D10,2017-01-01,Y1,200,0,1,2017-01-02,Z2,1
5ETWKYRZwyovvY8,"X1, X3",D4,2017-01-01,Y3,500,0,1,2017-01-02,Z5,0
66TYPuFZnslq8to,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y2,50,1,1,2017-01-02,Z1,0
6hcPVNb0ELLLpqe,X6,D10,2017-01-01,Y4,300,1,1,2017-01-02,Z5,0
6wskF5sUHjzhl6K,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,400,1,1,2017-01-02,Z2,1
6wskFSsUHjzhl6K,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,400,1,1,2017-01-02,Z2,0
7VfPk0h5t5aM0U1,"X3, X4",D2,2017-01-01,Y1,100,1,0,2017-01-02,Z1,1
8ED6d6Q46RtN8a2,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,100,1,1,2017-01-02,Z2,1
8ED6d6QA6RtN8a2,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,100,1,1,2017-01-02,Z2,0
a0LmCdEjePnRNXI,"X3, X4",D2,2017-01-01,Y2,300,1,0,2017-01-02,Z2,1
AGLZdecEBer2D2m,"X3, X4",D2,2017-01-01,Y1,100,1,0,2017-01-02,Z3,1
b05ABKxVD9Nyj5n,X6,D10,2017-01-01,Y1,100,0,1,2017-01-02,Z1,1
b0nEI8srVBTpTnL,"X3, X5, X6","D5, D2",2017-01-01,Y2,100,1,0,2017-01-02,Z5,0
BHb9B7W6CkCHnDp,"X3, X4",D2,2017-01-01,Y4,100,1,0,2017-01-02,Z1,1
BNNx1FWbMRDx2x7,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,200,1,1,2017-01-02,Z4,1
BqtuizQE7OCSWx6,"X7, X8","D4, D2",2017-01-01,Y5,300,0,0,2017-01-02,Z3,1
cDluxyTuko5R923,"X6, X7",D10,2017-01-01,Y2,100,0,1,2017-01-02,Z1,0
ClpGvsyUMqi7kJ0,"X3, X4",D2,2017-01-01,Y2,200,1,0,2017-01-02,Z4,1
DjV0aRE8syh8Zwn,"X3, X4",D2,2017-01-01,Y2,100,1,0,2017-01-02,Z3,1
EgxBrWfFeeNDtXR,"X7, X8","D4, D2",2017-01-01,Y5,100,0,0,2017-01-02,Z1,1
FjHrc8k51onjFvY,"X7, X8","D4, D2",2017-01-01,Y5,300,0,0,2017-01-02,Z1,1
FwAhygcp8eQf0hF,"X3, X4",D2,2017-01-01,Y3,100,1,0,2017-01-02,Z1,1
GPDFOR86LR9fScK,X6,D10,2017-01-01,Y1,100,0,1,2017-01-02,Z3,1
hTzW9iwwAdDeRj9,"X1, X2, X3, X4, X5","D3, D2",2017-01-01,Y2,300,0,1,2017-01-02,Z2,0
i0GFW91nBXLyoFx,"X3, X4",D2,2017-01-01,Y5,100,1,0,2017-01-02,Z2,1
K1GeGfRICiFbgVF,"X3, X4",D2,2017-01-01,Y1,100,1,0,2017-01-02,Z4,1
K7BToP6ivTyAzQd,"X7, X8","D4, D2",2017-01-01,Y5,400,0,0,2017-01-02,Z2,1
kQJomyd3KRcEyPJ,"X3, X4",D2,2017-01-01,Y4,100,1,0,2017-01-02,Z2,1
kS7HSOWEB33m3rN,"X3, X4",D2,2017-01-01,Y1,500,1,0,2017-01-02,Z3,1
lnb1F77BCKNsbeo,"X3, X4",D2,2017-01-01,Y4,300,1,0,2017-01-02,Z3,1
lRK5VMd8jgCh9i9,"X3, X4",D2,2017-01-01,Y3,100,1,0,2017-01-02,Z1,1
mHoCpk95qS6veyK,"X7, X8","D10, D1",2017-01-01,Y5,300,0,0,2017-01-02,Z2,0
monUvMmr85OP05e,"X7, X8","D4, D2",2017-01-01,Y3,200,0,0,2017-01-02,Z3,0
N8OZTwB7RtPiLK8,"X1, X7, X8",D10,2017-01-01,Y1,500,1,1,2017-01-02,Z1,0
NcgLswiL0koMfRL,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,300,1,1,2017-01-02,Z3,1
NcgLswiLOkoMfRL,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,300,1,1,2017-01-02,Z3,0
NwWK1xVvoFgPRrI,"X3, X4",D2,2017-01-01,Y3,200,1,0,2017-01-02,Z4,1
OQxNEHmcuGuigMX,"X7, X8","D4, D2",2017-01-01,Y5,300,0,0,2017-01-02,Z4,1
oUx5wYUIhFyZfN8,"X3, X4",D2,2017-01-01,Y5,100,1,0,2017-01-02,Z1,1
p6ltbCiHoPPXpIB,"X3, X4",D2,2017-01-01,Y3,100,1,0,2017-01-02,Z3,1
qdeFWcHklJBvTwq,"X3, X4",D2,2017-01-01,Y2,100,1,0,2017-01-02,Z1,1
QL91rjH52KUh2MD,"X3, X4",D2,2017-01-01,Y5,500,1,0,2017-01-02,Z3,1
Rfx5uorWLPxrY0w,"X1, X2, X3, X4, X5","D3, D2",2017-01-01,Y3,400,0,1,2017-01-02,Z1,0
RmUIzItC9qvIRjv,"X7, X8","D4, D2",2017-01-01,Y5,300,0,0,2017-01-02,Z2,1
RmUIzItC9qvIRjv,"X7, X8","D4, D2",2017-01-01,Y5,400,0,0,2017-01-02,Z5,0
S1HHKOz1XYnyP62,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,50,1,1,2017-01-02,Z2,0
tUNBQVAJRJvuEs3,"X3, X4",D2,2017-01-01,Y2,100,1,0,2017-01-02,Z2,1
w7WNrNenF4h9C5,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,500,1,1,2017-01-02,Z1,1
w7WNrNenF4h9C5,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y1,200,1,1,2017-01-02,Z5,0
wI1YbuynscV1aVP,"X3, X4",D2,2017-01-01,Y4,400,1,0,2017-01-02,Z4,1
wxzLA233XVij6Pm,"X3, X4",D2,2017-01-01,Y1,400,1,0,2017-01-02,Z2,1
xhEeXq5L9x0I32p,"X3, X4",D2,2017-01-01,Y5,300,1,0,2017-01-02,Z3,1
XHocWq0WoXVZ9Cq,"X1, X2, X3, X4, X5","D2, D1, D3",2017-01-01,Y3,500,0,1,2017-01-02,Z3,0
Y4adZa6bngrzlEQ,"X3, X4",D2,2017-01-01,Y3,500,1,0,2017-01-02,Z2,1
YLkHvS4Fv3c4oOP,"X7, X8","D4, D2",2017-01-01,Y4,300,0,0,2017-01-02,Z3,0
ySGmj9yzdQLo06r,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-01,Y2,400,1,1,2017-01-02,Z1,0
zhwuRYcl5lEy9Vr,"X1, X2, X3, X4, X5","D2, D1, D3",2017-01-01,Y4,200,0,1,2017-01-02,Z4,0
ZkvCrATrDeEVFbb,"X3, X4",D2,2017-01-01,Y5,100,1,0,2017-01-02,Z4,1
ZXgoSUYofO7crRb,X6,D10,2017-01-01,Y1,100,0,1,2017-01-02,Z1,1
0Rck5OmpHKDJjGR,"X1, X2, X3, X4, X5","D3, D2",2017-01-02,Y2,200,0,1,2017-01-03,Z3,0
113tqerp2mBHkgB,"X1, X2, X3, X4, X5","D3, D2",2017-01-02,Y5,400,0,1,2017-01-03,Z2,0
1MWZCY1qgeFe0vO,"X1, X2",D1,2017-01-02,Y2,200,0,1,2017-01-03,Z1,1
3HCKKA8WWLx9yFo,"X1, X2",D1,2017-01-02,Y2,500,0,1,2017-01-03,Z2,1
eiYBtKv95uC1OId,"X1, X2",D1,2017-01-02,Y2,200,0,1,2017-01-03,Z4,1
gYrQdqfp9WAbyAf,"X1, X7, X2",D10,2017-01-02,Y1,200,1,0,2017-01-03,Z1,0
LLrfv3q5cOUpf4f,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-02,Y1,50,1,1,2017-01-03,Z1,0
mUdrFBFKrDtR1Tp,"X1, X2",D1,2017-01-02,Y2,200,0,1,2017-01-03,Z3,1
PfI46DhxeFKcWm9,"X1, X2",D1,2017-01-02,Y2,300,0,1,2017-01-03,Z1,1
Q9MLWP2Tl0QMyda,"X7, X3","D10, D11",2017-01-02,Y3,300,0,1,2017-01-03,Z4,0
RFzXx6tGK1efhPv,"X3, X7",D10,2017-01-02,Y1,400,1,1,2017-01-03,Z2,0
vRkZACeRUeCCyCC,"X7, X8","D4, D2",2017-01-02,Y4,100,1,0,2017-01-03,Z3,0
w7WNrNenFAh9C5,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-02,Y1,500,1,1,2017-01-03,Z1,0
xIDqFRf020P0YIy,"X1, X2",D1,2017-01-02,Y4,100,0,1,2017-01-03,Z3,0
06p1eGIBOxZzLaM,"X7, X5",D10,2017-01-03,Y5,400,1,1,2017-01-04,Z3,0
hIJDLPWnupHQMcO,"X1, X2, X3, X4, X5","D3, D2",2017-01-03,Y4,500,0,1,2017-01-04,Z4,0
HOfrQAXFvQyhTYN,"X1, X2, X3, X4, X5","D2, D1, D3",2017-01-03,Y1,300,0,1,2017-01-04,Z3,0
L6Kjrc6QaZoMNbq,"X4, X7, X1","D10, D4",2017-01-03,Y4,200,1,1,2017-01-04,Z2,0
mSxtTTWvk9P8BG0,"X3, X7",D10,2017-01-03,Y2,200,1,0,2017-01-04,Z3,0
pEbYczXS8Jx6XYK,"X2, X7",D10,2017-01-03,Y2,500,1,1,2017-01-04,Z3,0
pFwlztyHaDWLnPd,"X1, X2",D1,2017-01-03,Y4,200,0,1,2017-01-04,Z5,0
RFKAlypfYE8cpib,"X9, X7",D10,2017-01-03,Y3,100,1,0,2017-01-04,Z1,0
srNP8rZrIeHWFqM,X7,D10,2017-01-03,Y1,300,1,1,2017-01-04,Z1,0
TD5le92mn78Ktp7,"X1, X2",D1,2017-01-03,Y2,100,0,1,2017-01-04,Z5,0
XYT0ngfPHR8shQf,"X1, X2",D1,2017-01-03,Y1,500,0,1,2017-01-04,Z5,0
1hulvY2PR3R2mkN,"X1, X2, X3, X4, X5","D3, D2",2017-01-05,Y1,350,0,1,2017-01-06,Z1,0
1XBtSMiGBmEiEn1,"X1, X2",D1,2017-01-05,Y2,200,0,1,2017-01-06,Z2,1
2VNvVrn6gm6UbnH,"X1, X2",D1,2017-01-05,Y2,300,0,1,2017-01-06,Z2,1
3z2Tjx30jC5lPo7,X6,D10,2017-01-05,Y2,500,0,1,2017-01-06,Z1,1
909ACeIvMX5vms4,X6,D10,2017-01-05,Y2,400,0,1,2017-01-06,Z2,1
BYCPGKENkaE3PkV,"X5, X7","D10, D1",2017-01-05,Y3,200,0,0,2017-01-06,Z3,0
CQEySin5C7WPFd9,X6,D10,2017-01-05,Y4,200,0,1,2017-01-06,Z1,1
g1TDNf98qvdJEOC,"X1, X2",D1,2017-01-05,Y2,200,0,1,2017-01-06,Z3,1
gdfuVtDp8VTG6Cd,X6,D10,2017-01-05,Y4,200,0,1,2017-01-06,Z4,1
IoAgyQRlQcUzouu,"X1, X2",D1,2017-01-05,Y2,100,0,1,2017-01-06,Z4,1
LdxnKTgI4qcWntd,"X1, X2, X3, X4, X5","D2, D1, D3",2017-01-05,Y2,200,0,1,2017-01-06,Z4,0
LwM55ur8ObbCMh4,X6,D10,2017-01-05,Y2,200,0,1,2017-01-06,Z4,1
LwM5Sur8ObbCMh4,X6,D10,2017-01-05,Y2,200,0,1,2017-01-06,Z4,0
nDSZprofu05slmj,X6,D10,2017-01-05,Y4,500,0,1,2017-01-06,Z3,0
nQN152AAFymGJCq,"X1, X2",D1,2017-01-05,Y2,200,0,1,2017-01-06,Z1,1
nVmE5w1UvdiBsly,X6,D10,2017-01-05,Y4,300,0,1,2017-01-06,Z2,1
PWUgFzsBIBIN0XK,"X1, X2",D1,2017-01-05,Y2,200,0,1,2017-01-06,Z4,1
q8Nzk89QT1UmVLJ,X6,D10,2017-01-05,Y2,200,0,1,2017-01-06,Z3,1
RmU1zItC9qvIRjv,"X7, X8","D4, D2",2017-01-05,Y5,300,0,0,2017-01-06,Z2,0
TPxykiBlxR8P0xN,X6,D10,2017-01-05,Y2,100,0,1,2017-01-06,Z1,1
tv5niuYeNcXpYgY,"X1, X2, X3, X4, X5","D3, D2",2017-01-05,Y2,200,0,1,2017-01-06,Z3,0
u46icblFIqzsAyt,X7,"D10, D5, D8",2017-01-05,Y5,400,0,1,2017-01-06,Z1,0
X1Wwzct0iatbD7G,X6,D10,2017-01-05,Y2,50,0,1,2017-01-06,Z4,0
X1YbhTXpFYJScUi,X6,D10,2017-01-05,Y2,300,0,1,2017-01-06,Z2,1
xvI9BXCU9IJhKEo,X6,D10,2017-01-05,Y4,100,0,1,2017-01-06,Z4,1
ZUc4P5DMG2qYS18,X6,D10,2017-01-05,Y4,200,0,1,2017-01-06,Z1,1
hcLsNTave2EOToh,"X8, X9, X7, X10","D10, D8",2017-01-06,Y5,300,1,0,2017-01-07,Z2,0
cv3SR44NeFJK5OY,"X4, X6, X7","D10, D15",2017-01-07,Y3,200,0,1,2017-01-08,Z3,0
1a8aYhOp7qfCkpv,X6,D10,2017-01-10,Y5,300,0,1,2017-01-11,Z1,1
1bVbVGjUDPwCHeN,"X1, X2",D1,2017-01-10,Y4,300,0,1,2017-01-11,Z3,0
9PnlJLOP4KaMXtJ,X6,D10,2017-01-10,Y5,200,0,1,2017-01-11,Z4,1
CwqXaq6UNmFtAgI,"X1, X2",D1,2017-01-10,Y2,200,0,1,2017-01-11,Z4,1
fFDU4K9TG7FsQcs,"X1, X2",D1,2017-01-10,Y2,200,0,1,2017-01-11,Z3,1
flvFzg6a82bGb6v,"X1, X2, X3, X4, X5","D3, D2",2017-01-10,Y1,100,0,1,2017-01-11,Z2,0
FYTn3ElsDeRoQ09,"X1, X2",D1,2017-01-10,Y2,100,0,1,2017-01-11,Z2,1
GbCy62EDeJXptMH,"X1, X2",D1,2017-01-10,Y2,300,0,1,2017-01-11,Z3,1
GO3jbe8Sp4MqIYr,"X1, X2",D1,2017-01-10,Y2,200,0,1,2017-01-11,Z1,1
QwKE9RS44h6SgNB,X6,D10,2017-01-10,Y5,100,0,1,2017-01-11,Z3,1
VDPSCTjv6CTjA3W,X6,D10,2017-01-10,Y5,200,0,1,2017-01-11,Z2,1
yLZZLWtD6p6g6HL,X6,D10,2017-01-10,Y5,500,0,1,2017-01-11,Z1,1
8d6sRMSMnX2JyH6,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-11,Y5,400,1,1,2017-01-12,Z5,0
Crf9aFE94Ykvtkn,"X1, X2, X3, X4, X5","D1, D2, D3",2017-01-15,Y1,300,1,1,2017-01-16,Z5,0
qWyu1UiwHfKeXCh,"X7, X8, X9",D10,2017-01-20,Y4,500,1,1,2017-01-21,Z1,0
Cd16nq5rkNVh595,X6,D10,2017-01-31,Y1,50,0,1,2017-02-01,Z1,0
GM0ahnK7GcVs3mJ,X6,D10,2017-01-31,Y4,200,0,1,2017-02-01,Z3,0
Cd16nq5rkNVh595,X6,D10,2017-02-01,Y1,100,0,1,2017-02-02,Z1,1
Y101RIqq5zAg0MI,"X7, X8","D10, D1",2017-02-01,Y1,100,0,1,2017-02-02,Z2,0
ySGmj9yzdQLoO6r,"X1, X2, X3, X4, X5","D2, D1, D3",2017-02-01,Y1,300,0,1,2017-02-02,Z3,0
zSmsge37tMxCUAN,"X1, X2, X3, X4, X5","D2, D1, D3",2017-02-01,Y2,400,0,1,2017-02-02,Z1,0
Cd16nq5rkNVhS95,X6,D10,2017-02-02,Y1,100,0,1,2017-02-03,Z1,0
NopCApkw4nCCwQw,X6,D10,2017-02-02,Y1,50,0,1,2017-02-03,Z1,0
hntvWJULUiJSybI,"X1, X2, X3, X4, X5","D2, D1, D3",2017-02-05,Y3,150,0,1,2017-02-06,Z1,0
w7WNrNenF4h9C5,"X1, X2, X3, X4, X5","D1, D2, D3",2017-12-31,Y1,50,1,1,2018-01-01,Z1,0